"","Counterparty","Bitcoin.Scrypt","Omni","Orbitcoin","Mooncoin","Bunnycoin","Sativacoin","ZcCoin","Burst","Bluecoin","Peercoin","Einsteinium","Verge","Mincoin","ArtByte","Rubycoin","Opal","Diamond","bitCNY","Acoin","Bitstar","Reddcoin","BoostCoin","Megacoin","DigitalNote","Groestlcoin","Phoenixcoin","Octocoin","Energycoin","Tagcoin","Deutsche.eMark","Bytecoin","Magi","Anoncoin","NuShares","Curecoin","Earthcoin","CannabisCoin","Trollcoin","Auroracoin","NXT","CryptCoin","NuBits","GlobalBoost.Y","Smartcoin","Mintcoin","Startcoin","NavCoin","Infinitecoin","Truckcoin","Faircoin","Litecoin","BitShares","Sexcoin","Bitcoin.Plus","Uniform.Fiscal.Object","Cachecoin","Quark","SuperCoin","HyperStake","Maxcoin","Viacoin","GCN.Coin","Bitgem","ExclusiveCoin","Syscoin","GameCredits","Ixcoin","Terracoin","Bullion","MonaCoin","Swarm.Network","Pinkcoin","Vertcoin","EmerCoin","Cloakcoin","Potcoin","Stealth","DNotes","VeriCoin","Whitecoin","DigiByte","BitBay","Argentum","Fluttercoin","Zeitcoin","Clams","BoolBerry","BlackCoin","MonetaryUnit","Ubiq","Pandacoin","WorldCoin","Myriad","Gulden","Monero","Digitalcoin","MaidSafeCoin","Bitbar","Dash","OKCash","Titcoin","Goldcoin","Fedoracoin","Primecoin","Riecoin","Freicoin","Namecoin","Bitmark","Stellar","Hobonickels","Unobtanium","DopeCoin","Blocknet","Bitcoin","Dogecoin","Fastcoin","Netcoin","Feathercoin","Bitswift","VPNCoin","XRP","Novacoin","NobleCoin","I.O.Coin","Maza","Bela"
"2015-01-04",3.455668316,0.000331029,2.118186491,0.0108962,3.8e-07,9.7e-08,0.000422857,0.00742716,0.000404451,0.000157834,0.45980648,0.00025469,4.66e-06,0.004435912,7.05e-05,0.002000164,0.010148879,0.162526673,0.160785,0.010881031,0.003037295,3.06e-05,0.0108184,0.017053,5.21e-05,0.000372657,0.00025573,0.000579612,8.87e-05,0.024527,0.00381542,7.79e-06,0.018982454,0.15363081,0.005430078,0.007474483,6.75e-06,0.002747802,2.38e-06,0.018566239,0.015870621,0.005117334,1.002476089,8e-06,0.000321226,6.84e-06,0.013422548,0.000737569,3.9e-06,0.000613196,0.00557954,1.939972243,0.013726312,0.000195005,0.1615,5.33e-06,0.000688871,0.004359154,0.001569126,0.000527428,0.004941266,0.034763426,4.77e-08,0.132396,0.00293224,0.000621854,0.000306476,0.022179442,0.013417866,0.050358039,0.021006366,0.016752091,0.000194376,0.015053032,0.0945601,0.004936118,0.000869197,0.00635708,0.009884696,0.009452466,0.000229886,4.44e-05,0.00677903,0.00211356,0.000208385,1.76e-06,1.51794,0.035101733,0.023132577,2.87e-05,0.007585976,1.3e-05,0.006422959,6.88e-05,0.001206874,0.405710263,0.008171968,0.039427,0.766952996,1.606459176,7.3e-05,0.00087361,0.004154062,1.48e-07,0.073780039,0.0057857,0.001721615,0.565517357,0.107485197,0.004408245,0.00954243,1.900773371,4.03e-05,0.0312119,260.936,0.000158136,0.000159171,0.000157638,0.012928646,0.0406489,0.000342359,0.018855,0.575895875,3.16e-05,0.00161047,7.29e-05,1.61e-05
"2015-01-05",3.589068545,0.000347589,2.245407748,0.0128373,3.91e-07,1.04e-07,0.000382774,0.00773773,0.000388629,0.000148158,0.479899537,0.000258773,2.73e-06,0.005409756,9.98e-05,0.00187832,0.012087047,0.163224428,0.164668,0.010059028,0.003308694,3e-05,0.0109781,0.016140879,6.79e-05,0.000192933,0.000259551,0.000561624,0.000102796,0.0213495,0.00411419,8.17e-06,0.019723258,0.15961609,0.005792264,0.008262227,1.61e-05,0.002893517,2.08e-06,0.020550207,0.016882199,0.005293462,0.994571724,8e-06,0.000313107,5.45e-06,0.016805383,0.00078924,3.72e-06,0.000540058,0.00486927,2.084589955,0.014396667,0.000220191,0.177336,5.47e-06,0.00109288,0.00453311,0.001224735,0.000750643,0.005061734,0.034061496,4.82e-08,0.100239,0.0033135,0.000651905,0.00029656,0.024237609,0.016067121,0.05136536,0.022077576,0.017980608,0.000215503,0.015728828,0.0887973,0.005967968,0.000935665,0.006795318,0.010383297,0.009604656,0.00019801,4.28e-05,0.00694928,0.00219579,0.000241091,1.95e-06,1.28654,0.031184791,0.025176113,8.2e-06,0.007136532,8.24e-06,0.007060232,0.000101145,0.001151462,0.419620608,0.009323182,0.047861,0.78713317,1.670693056,0.000114975,0.000890571,0.00395373,1.52e-07,0.076910845,0.00575421,0.001944553,0.587283146,0.138100968,0.005061403,0.009590022,1.935474803,6.73e-05,0.0415925,273.22,0.000160336,0.000169396,0.000158395,0.01334124,0.0402625,0.000340077,0.02023,0.549262513,3.12e-05,0.00168901,9.02e-05,1.89e-05
"2015-01-06",3.527604577,0.000349397,2.368320048,0.0139596,4.35e-07,1.07e-07,0.000382774,0.00790385,0.000405158,0.000153288,0.499152019,0.000307505,2.85e-06,0.005116001,8.14e-05,0.001990405,0.011948921,0.17141845,0.161705,0.014725859,0.00292796,3.42e-05,0.0112822,0.016160499,6.19e-05,0.000197113,0.000265343,0.00056949,0.000105466,0.0213608,0.00458486,1.1e-05,0.020653128,0.170873952,0.007108661,0.010642331,9.09e-06,0.003113444,2.28e-06,0.021063358,0.017465217,0.005302207,0.994452655,8e-06,0.000309348,3.12e-06,0.015441296,0.000821641,4.2e-06,0.000535201,0.00467624,2.132923844,0.014613705,0.000211381,0.164319,5.82e-06,0.000787632,0.004726221,0.001669979,0.000658184,0.005250552,0.04087852,5e-08,0.135664,0.00291253,0.000596244,0.000338892,0.024352722,0.017345835,0.054503542,0.023965732,0.018714814,0.000227281,0.016506867,0.10413,0.007657824,0.000998275,0.007068087,0.010774315,0.009376103,0.000211107,4.84e-05,0.00683553,0.00228668,0.000222316,2.12e-06,1.33721,0.034576542,0.025309684,1.14e-05,0.007459846,1.14e-05,0.007434216,9.81e-05,0.001301677,0.460105122,0.009899408,0.048519,0.709143608,1.716784229,0.00019476,0.00092029,0.004346098,1.46e-07,0.078943943,0.00559299,0.001782977,0.631162203,0.123573067,0.004923061,0.01036763,2.275243304,4.14e-05,0.0352323,285.3738,0.000168992,0.000171224,0.000164601,0.014225032,0.0412524,0.000298309,0.02068,0.532145659,3.14e-05,0.001343981,0.000154114,1.89e-05
"2015-01-07",3.794176161,0.000349397,2.461160907,0.0118719,4.4e-07,1.08e-07,0.000373856,0.00822765,0.000415563,0.000199844,0.515490436,0.000279913,2.96e-06,0.005885812,9.59e-05,0.001947438,0.010990126,0.177553133,0.163478,0.012129402,0.002978413,3.32e-05,0.0119828,0.016716523,6.5e-05,0.000204004,0.000286954,0.000590362,0.000103707,0.0231967,0.00485344,8.88e-06,0.018516051,0.182141031,0.007278464,0.011068597,9.72e-06,0.003395858,2.65e-06,0.021006865,0.018031658,0.005023378,0.992345963,6e-06,0.000318378,2.97e-06,0.014823867,0.00079033,4.36e-06,0.000559541,0.00356896,2.156631851,0.015132836,0.0002196,0.255015,5.98e-06,0.000701218,0.004609483,0.001931981,0.000694944,0.005488298,0.04226651,4.77e-08,0.133564,0.00321206,0.000685764,0.000448889,0.024292072,0.017524729,0.056573781,0.025052482,0.019607471,0.000200414,0.017083954,0.0992475,0.008541924,0.001283515,0.0076378,0.010816099,0.010627815,0.000236567,5.03e-05,0.00684764,0.00232526,0.000257604,2.09e-06,1.6328,0.031693989,0.026049484,1.78e-05,0.008266679,1.18e-05,0.00800087,9.16e-05,0.00139102,0.465958249,0.010323744,0.052899,0.828628308,1.751189966,0.00021788,0.000945922,0.004729165,1.41e-07,0.08064576,0.00564776,0.0018333,0.668430882,0.131566412,0.005186963,0.013462199,2.294288956,6.37e-05,0.0364495,295.8725,0.000173489,0.000165689,0.000143268,0.01475092,0.0430409,0.000329731,0.02083,0.536102181,2.8e-05,0.001705991,0.000130184,2.01e-05
"2015-01-08",3.39817903,0.000349397,2.479564957,0.0151123,4.8e-07,1.02e-07,0.000372248,0.00774432,0.000405573,0.000214569,0.467624817,0.000291985,2.85e-06,0.00550722,0.0001009,0.001832905,0.010225344,0.172029701,0.161726,0.011719443,0.002834669,3.15e-05,0.011455,0.016862551,6.26e-05,0.000196519,0.000267381,0.000590362,9.52e-05,0.0236106,0.00429468,8.53e-06,0.018409204,0.173894153,0.007822444,0.008533575,8.81e-06,0.003330308,2.34e-06,0.020316103,0.016500921,0.005070358,1.001499291,3e-06,0.000321193,5.75e-06,0.01394935,0.000907249,4.27e-06,0.000539092,0.00507586,2.037065526,0.01454222,0.000199716,0.260791,5.7e-06,0.000637174,0.004595922,0.001721085,0.00061724,0.005297054,0.04253541,7.91e-08,0.128809,0.00300561,0.000695809,0.000326903,0.024778456,0.017341142,0.054333272,0.020944464,0.019797894,0.000195469,0.015665011,0.0962676,0.007646787,0.001735024,0.007956446,0.009678567,0.01062844,0.000227256,4.78e-05,0.00627023,0.00223846,0.000296055,2.03e-06,1.55873,0.030022936,0.026116519,5.4e-05,0.008436861,8.76e-06,0.007563421,7.38e-05,0.001334091,0.435425318,0.009897504,0.051324,0.820259479,1.724086183,0.000174393,0.000866931,0.003980218,1.43e-07,0.07858309,0.0056297,0.00174591,0.631812871,0.12411261,0.005559583,0.012746317,2.228954554,6.45e-05,0.0367752,284.4525,0.00016912,0.00015076,0.000146394,0.014193447,0.0453728,0.00033055,0.020683,0.499088351,2.84e-05,0.001687235,0.000144501,1.71e-05
"2015-01-09",3.183167386,0.000349397,2.685154224,0.0125437,4.89e-07,6.04e-08,0.000274423,0.00774432,0.000457242,0.000262944,0.459900825,0.000269464,5.79e-06,0.005861442,9.56e-05,0.002030612,0.009805072,0.173572891,0.160224,0.01173353,0.002407665,3.19e-05,0.0103269,0.016757573,6.33e-05,0.000135464,0.00027214,0.000590362,9.52e-05,0.0234412,0.00624549,8.82e-06,0.016825004,0.191149325,0.009558831,0.008505841,9.53e-06,0.003366176,2.34e-06,0.02085209,0.017191007,0.005681177,0.998124835,3e-06,0.00035298,2.97e-06,0.014046582,0.00084827,4.08e-06,0.00054345,0.00399092,2.010515896,0.01459833,0.000203868,0.260791,5.82e-06,0.00035328,0.004594685,0.001331372,0.000648396,0.005266654,0.037179073,7.91e-08,0.131622,0.00300561,0.000888534,0.000304724,0.02438867,0.017341192,0.055311492,0.023040505,0.020079047,0.000200052,0.0157322,0.0962676,0.00735368,0.001958824,0.007465386,0.010572127,0.0107755,0.000209223,5.18e-05,0.00628863,0.00223846,0.000287389,2.01e-06,1.49568,0.031190762,0.026565483,5.5e-05,0.0070683,1.16e-05,0.007805787,6.69e-05,0.001381546,0.42112522,0.009693694,0.050302,0.828426489,1.724528848,0.000267035,0.000871798,0.004030866,1.41e-07,0.080540252,0.0059378,0.001767187,0.626386394,0.14115152,0.005722164,0.011003804,2.381260112,7.08e-05,0.0367752,289.5738,0.000171007,0.000162161,0.000141672,0.01427602,0.0453728,0.00033055,0.020576,0.492129135,2.37e-05,0.001484715,0.000144672,1.71e-05
"2015-01-10",3.024294582,0.000424761,2.198049384,0.0129669,4.72e-07,4.97e-08,0.000268131,0.00733524,0.000452836,0.000224867,0.412303625,0.000241222,5.49e-06,0.005645075,9.51e-05,0.001638447,0.0094495,0.16172554,0.162657,0.011157021,0.002754945,3.05e-05,0.00968911,0.01477661,6.01e-05,0.000150715,0.000281664,0.000590362,9.48e-05,0.0224767,0.00535315,8.24e-06,0.015508578,0.17325615,0.008875652,0.007990302,8.16e-06,0.002906139,2.89e-06,0.019657247,0.016293502,0.004989563,0.993315073,3e-06,0.000303737,2.85e-06,0.013937384,0.00215009,3.75e-06,0.000544765,0.00350064,1.652924336,0.01386711,0.000184784,0.144988,5.64e-06,0.000340421,0.004862423,0.001234797,0.000578925,0.004974672,0.033221306,8.4e-08,0.117193,0.00309941,0.000744275,0.000217024,0.022767216,0.018149992,0.052435803,0.023544091,0.01909377,0.000225567,0.014705298,0.097124,0.006508419,0.001562299,0.007350973,0.009571445,0.010431435,0.000201504,5.12e-05,0.00641867,0.00218918,0.000263595,1.7e-06,1.36487,0.028960978,0.025993829,6.04e-05,0.007140766,8.32e-06,0.006689251,6.07e-05,0.001265663,0.416878951,0.008457644,0.046264,0.933137667,1.665613103,0.000310884,0.000959873,0.003644471,1.38e-07,0.069673872,0.00558487,0.001676687,0.566541075,0.112266408,0.005301377,0.012032781,2.381981319,6.43e-05,0.0355395,274.533,0.0001637,0.000140012,0.000138269,0.012401775,0.0400756,0.000323253,0.019306,0.467820756,2.36e-05,0.001537363,0.000161974,2.86e-05
"2015-01-11",3.155507238,0.000348806,2.220012483,0.0177779,4.64e-07,8.82e-08,0.000159519,0.00710878,0.000414568,0.000222121,0.393896258,0.000248864,8.02e-06,0.005083806,8.44e-05,0.001553898,0.009181919,0.155156378,0.16319,0.010764843,0.002623014,2.93e-05,0.0105661,0.01449696,5.58e-05,0.000133287,0.000252652,0.000590362,8.55e-05,0.0212648,0.00533693,8.02e-06,0.015918062,0.179509352,0.009121662,0.00789338,1.03e-05,0.002717171,2.21e-06,0.018886141,0.015667749,0.004889147,0.990876766,3e-06,0.000276041,6.2e-06,0.012047687,0.00178772,4.03e-06,0.000529221,0.00455247,1.764078256,0.013469764,0.000163084,0.0850799,5.4e-06,0.000328636,0.004616323,0.001382413,0.000578305,0.004557954,0.031244369,5.58e-08,0.121526,0.0027803,0.00067271,0.00029655,0.023203017,0.016187116,0.052830292,0.023193249,0.018582647,0.0002209,0.014512716,0.100397,0.006682102,0.00146099,0.007221922,0.009719825,0.009901347,0.000170198,4.96e-05,0.0050981,0.00225055,0.000230554,1.89e-06,1.13431,0.030558021,0.024096119,6.68e-05,0.00691104,8.2e-06,0.006721008,5.88e-05,0.001218317,0.382401624,0.008243605,0.045765,0.749028969,1.655766774,0.00119364,0.00075989,0.003485264,1.31e-07,0.068045,0.00532041,0.001627692,0.52451085,0.082846967,0.005009382,0.009522438,2.529113081,5.77e-05,0.0344012,267.184,0.000160627,0.000122905,0.000130382,0.012032863,0.0423887,0.000303493,0.018835,0.455360677,1.61e-05,0.001289235,0.000152295,3.87e-05
"2015-01-12",3.076962699,0.00028959,2.343851768,0.0166821,4.52e-07,6.91e-08,0.000232227,0.00721622,0.000431552,0.000185164,0.395674687,0.000220568,1.07e-05,0.005372427,9.01e-05,0.001892381,0.008375103,0.152880141,0.160339,0.010277958,0.002436794,2.71e-05,0.0101816,0.014710221,5.84e-05,0.000134382,0.000257115,0.000590362,7.85e-05,0.0216505,0.00520679,8.05e-06,0.015234861,0.17706224,0.009258213,0.008613705,8.04e-06,0.002684027,1.65e-06,0.018443239,0.015459756,0.005546209,0.99089546,5e-06,0.000467111,2.98e-06,0.013706596,0.00237363,4.4e-06,0.000525258,0.00364819,1.726643527,0.0126237,0.000149063,0.104561,5.37e-06,0.00034081,0.004592881,0.001257762,0.00051263,0.004842482,0.028198393,5.76e-08,0.124348,0.00290063,0.000601963,0.000309584,0.022105284,0.013427249,0.054191407,0.022944018,0.018672071,0.000216491,0.013166467,0.0923757,0.006734741,0.001514731,0.006782832,0.00967077,0.009359215,0.00021247,4.9e-05,0.00468239,0.00206677,0.000200457,1.67e-06,1.03757,0.027443607,0.024061671,0.000131493,0.006985255,1.07e-05,0.00674862,5.69e-05,0.001212955,0.363511015,0.007286492,0.052717,0.75486195,1.654971945,0.000293646,0.000704741,0.00329837,1.21e-07,0.066969183,0.00638829,0.001634002,0.540901474,0.093736912,0.004870028,0.009929098,2.40803098,6.68e-05,0.0337004,268.3536677,0.000156898,0.000142228,0.000128689,0.011978047,0.0420356,0.000286764,0.018523,0.462264847,1.77e-05,0.001377003,0.000110266,3.73e-05
"2015-01-13",2.491880356,0.000382589,1.775577499,0.0117336,4.38e-07,6.36e-08,0.000167782,0.00581885,0.000356247,0.000171986,0.325979791,0.000199671,8.84e-06,0.004209498,8.09e-05,0.001570589,0.006531064,0.120115277,0.161689,0.008414568,0.001786261,2.51e-05,0.00841002,0.013474569,4.86e-05,0.000110741,0.000225871,0.000590362,6.18e-05,0.0184882,0.00541584,8.85e-06,0.009665703,0.144185204,0.00996462,0.007759606,6.64e-06,0.002389475,2.46e-06,0.015076468,0.01296302,0.004427019,0.987384769,5e-06,0.000328076,2.29e-06,0.010696398,0.00189902,3.77e-06,0.000410727,0.00462327,1.570142602,0.010997778,0.000128612,0.104561,4.43e-06,0.000434015,0.004335998,0.000930055,0.000442524,0.004287883,0.02823312,5.36e-08,0.0991653,0.0030519,0.000552748,0.000266462,0.018099853,0.011065832,0.045009081,0.022726186,0.015254726,0.000137886,0.010763196,0.083845,0.005945843,0.001070702,0.005496462,0.007925196,0.007616255,0.00017287,3.83e-05,0.00371781,0.00189164,0.000211813,1.85e-06,0.916206,0.022687602,0.020446752,3.99e-05,0.003986285,6.68e-06,0.005587689,5.11e-05,0.001102386,0.302582319,0.005725215,0.037015,0.626049997,1.3471611,0.000406554,0.000635312,0.002728938,1.12e-07,0.055056955,0.00529617,0.001454484,0.46981246,0.070217346,0.004126479,0.008748936,1.997544348,5.51e-05,0.0298261,221.436,0.000133978,0.000135076,0.000132652,0.008864424,0.0370532,0.000217914,0.01563,0.403847347,1.48e-05,0.001421468,9.53e-05,3.27e-05
