"","Counterparty","Bitcoin.Scrypt","Omni","Orbitcoin","Mooncoin","Bunnycoin","Sativacoin","ZcCoin","Burst","Bluecoin","Peercoin","Einsteinium","Verge","Mincoin","ArtByte","Rubycoin","Opal","Diamond","bitCNY","Acoin","Bitstar","Reddcoin","BoostCoin","Megacoin","DigitalNote","Groestlcoin","Phoenixcoin","Octocoin","Energycoin","Tagcoin","Deutsche.eMark","Bytecoin","Magi","Anoncoin","NuShares","Curecoin","Earthcoin","CannabisCoin","Trollcoin","Auroracoin","NXT","CryptCoin","NuBits","GlobalBoost.Y","Smartcoin","Mintcoin","Startcoin","NavCoin","Infinitecoin","Truckcoin","Faircoin","Litecoin","BitShares","Sexcoin","Bitcoin.Plus","Uniform.Fiscal.Object","Cachecoin","Quark","SuperCoin","HyperStake","Maxcoin","Viacoin","GCN.Coin","Bitgem","ExclusiveCoin","Syscoin","GameCredits","Ixcoin","Terracoin","Bullion","MonaCoin","Swarm.Network","Pinkcoin","Vertcoin","EmerCoin","Cloakcoin","Potcoin","Stealth","DNotes","VeriCoin","Whitecoin","DigiByte","BitBay","Argentum","Fluttercoin","Zeitcoin","Clams","BoolBerry","BlackCoin","MonetaryUnit","Ubiq","Pandacoin","WorldCoin","Myriad","Gulden","Monero","Digitalcoin","MaidSafeCoin","Bitbar","Dash","OKCash","Titcoin","Goldcoin","Fedoracoin","Primecoin","Riecoin","Freicoin","Namecoin","Bitmark","Stellar","Hobonickels","Unobtanium","DopeCoin","Blocknet","Bitcoin","Dogecoin","Fastcoin","Netcoin","Feathercoin","Bitswift","VPNCoin","XRP","Novacoin","NobleCoin","I.O.Coin","Maza","Bela"
"2015-01-04",3.455668316,0.000331029,2.118186491,0.0108962,3.8e-07,9.7e-08,0.000422857,0.00742716,0.000404451,0.000157834,0.45980648,0.00025469,4.66e-06,0.004435912,7.05e-05,0.002000164,0.010148879,0.162526673,0.160785,0.010881031,0.003037295,3.06e-05,0.0108184,0.017053,5.21e-05,0.000372657,0.00025573,0.000579612,8.87e-05,0.024527,0.00381542,7.79e-06,0.018982454,0.15363081,0.005430078,0.007474483,6.75e-06,0.002747802,2.38e-06,0.018566239,0.015870621,0.005117334,1.002476089,8e-06,0.000321226,6.84e-06,0.013422548,0.000737569,3.9e-06,0.000613196,0.00557954,1.939972243,0.013726312,0.000195005,0.1615,5.33e-06,0.000688871,0.004359154,0.001569126,0.000527428,0.004941266,0.034763426,4.77e-08,0.132396,0.00293224,0.000621854,0.000306476,0.022179442,0.013417866,0.050358039,0.021006366,0.016752091,0.000194376,0.015053032,0.0945601,0.004936118,0.000869197,0.00635708,0.009884696,0.009452466,0.000229886,4.44e-05,0.00677903,0.00211356,0.000208385,1.76e-06,1.51794,0.035101733,0.023132577,2.87e-05,0.007585976,1.3e-05,0.006422959,6.88e-05,0.001206874,0.405710263,0.008171968,0.039427,0.766952996,1.606459176,7.3e-05,0.00087361,0.004154062,1.48e-07,0.073780039,0.0057857,0.001721615,0.565517357,0.107485197,0.004408245,0.00954243,1.900773371,4.03e-05,0.0312119,260.936,0.000158136,0.000159171,0.000157638,0.012928646,0.0406489,0.000342359,0.018855,0.575895875,3.16e-05,0.00161047,7.29e-05,1.61e-05
"2015-01-31",1.926866276,0.00503437,2.409019305,0.011337,5.16e-07,1.88e-08,0.000189435,0.00593757,0.000406607,0.000211635,0.342453089,0.000227059,4.36e-06,0.004046512,7.41e-05,0.001248758,0.006329501,0.113620663,0.159814,0.007414972,0.001746367,2.37e-05,0.00983684,0.012749802,6.73e-05,0.000161401,0.000272438,0.000590362,7.45e-05,0.0160512,0.00736396,8.72e-06,0.012687304,0.140606922,0.008093025,0.009128636,6.5e-06,0.002333867,2.33e-06,0.01516091,0.011375008,0.007228934,0.993597436,2e-06,0.000294004,2.3e-06,0.008775438,0.00685582,3.59e-06,0.000370633,0.00578478,1.881478163,0.010196603,0.000227114,0.109558,9.78e-06,0.00046657,0.003496104,0.000886498,0.000514468,0.005676599,0.020833072,5.03e-08,0.122742,0.00171502,0.000425929,0.001688567,0.022532402,0.004446587,0.051671522,0.045141363,0.009811049,0.000140962,0.010420855,0.060499,0.006822363,0.001512999,0.006869323,0.009046547,0.008775871,0.000135068,0.000110277,0.00555088,0.00195498,0.000189795,2.77e-06,1.22071,0.017607754,0.01896056,5.48e-05,0.005976472,6.59e-06,0.004707246,6.11e-05,0.001212704,0.286744854,0.003024865,0.030916,0.661450458,1.62058801,0.000160544,0.000706976,0.003695146,1.32e-07,0.038835095,0.00520141,0.001348804,0.469780494,0.066112305,0.003939854,0.006939682,2.944811791,0.000157655,0.0291801,218.0233,0.000138354,0.000200494,0.000196539,0.004403152,0.0282392,0.000204206,0.014409,0.462367707,1.09e-05,0.003537678,0.000380351,2.06e-05
"2015-02-28",1.116599421,0.00102025,2.66176601,0.0172876,3.69e-07,5.52e-08,0.000153897,0.00384222,0.00043701,0.000121728,0.38284625,0.000222053,2.03e-05,0.004412624,8.46e-05,0.001211835,0.007849579,0.162300888,0.159837,0.010336699,0.002560681,1.63e-05,0.00879555,0.012332772,0.000142041,0.000380399,0.000251076,0.000590362,8.81e-05,0.0123489,0.00706235,1.01e-05,0.012426754,0.155136243,0.004495459,0.01141196,1.6e-05,0.002565532,3.26e-06,0.018183446,0.013106455,0.004159303,1.005494798,3e-06,0.00044212,1.78e-05,0.014770431,0.00678375,5.18e-06,0.000373364,0.00506523,1.836818633,0.010840644,0.000440915,0.252919,5.07e-06,0.001262924,0.002222674,0.001068396,0.000639675,0.006844911,0.020476146,3.03e-07,0.195174,0.00414953,0.000273173,0.001217321,0.02244729,0.004806535,0.063201,0.089606136,0.012677419,0.000134408,0.013963779,0.0710333,0.009280619,0.001489321,0.006711149,0.014535066,0.012464206,0.000228239,0.000132315,0.00485436,0.00209787,0.000231259,4.07e-06,1.75397,0.025807186,0.016392271,2.28e-05,0.011042352,3.51e-06,0.004303506,7.38e-05,0.001191969,0.416520461,0.006303553,0.03109,1.133727457,3.228755064,0.000109529,0.000538739,0.004424154,1.47e-07,0.037842122,0.00418172,0.001412306,0.490254757,0.10864425,0.003040514,0.008634692,3.715555283,0.000151973,0.032288,253.5991,0.000144562,0.000271351,0.000770817,0.003335544,0.0358157,0.000255219,0.013025,0.700323127,4.26e-05,0.009134112,0.000279315,6.84e-05
"2015-03-31",1.073558123,0.000414417,1.8,0.00942895,3.3e-07,3.8e-08,0.000173594,0.002754,0.000422491,8.76e-05,0.320563914,0.000132821,1.35e-05,0.003466586,9.09e-05,0.002609184,0.005425526,0.11479387,0.162186,0.007465,0.002026432,1.88e-05,0.00646804,0.00858244,9.67e-05,0.000328413,0.000187317,0.000590362,8.55e-05,0.0105433,0.00450866,1.57e-05,0.010872886,0.071304507,0.002838516,0.008223894,7.3e-06,0.005052568,2.89e-06,0.020941564,0.009832402,0.004783105,0.998336333,3e-06,0.000657022,1.56e-05,0.098890906,0.004684862,3.7e-06,0.00027799,0.0108817,1.647293249,0.006095123,0.000257031,0.317283,2.43e-06,0.000700615,0.001246516,0.001058301,0.000451367,0.005816399,0.006882627,1e-07,0.0882591,0.00132803,0.000391666,0.000486538,0.017868123,0.002568923,0.053031,0.127184377,0.010696547,0.000119,0.010416439,0.0541659,0.014272791,0.001091425,0.004674579,0.011860297,0.012754091,0.000306519,0.000134072,0.00277427,0.00167263,0.00020052,4e-06,1.509455746,0.025074061,0.020194936,0.000151,0.015837368,2.4e-06,0.003212358,5.77e-05,0.001125788,0.904278971,0.005427202,0.021738,0.243257037,3.958098143,1.8e-05,0.000291408,0.003430096,1e-07,0.01990333,0.00324363,0.001352447,0.392923583,0.025693489,0.002790423,0.007300509,2.939677872,0.000161652,0.030823732,243.2692,0.000124536,0.000138663,0.000298133,0.00243877,0.0387693,0.000227885,0.008869,0.551015369,2.02e-05,0.004893034,0.000150161,7.93e-05
"2015-04-30",0.981918849,0.00191982,1.42,0.0206841,2.9e-07,3.6e-08,0.000287081,0.00194088,0.000253064,8.04e-05,0.232817359,0.000118743,1.42e-05,0.003514966,8.6e-05,0.002865294,0.003953411,0.118237959,0.162077,0.01065,0.002662513,1.12e-05,0.00534132,0.007064988,6.96e-05,0.000271654,0.000162988,0.000590362,7.67e-05,0.00811439,0.00512645,2.66e-05,0.018117948,0.048604866,0.002501044,0.009273043,1.21e-05,0.002973575,4.64e-06,0.053233184,0.008969735,0.00478678,0.993820661,3e-06,0.000437006,1.17e-05,0.030666778,0.0045406,3.17e-06,9.65e-05,0.0191313,1.445167998,0.003591241,0.000213812,0.360853,4.72e-06,0.034500048,0.000758342,0.000625218,0.000252524,0.004608052,0.007063054,7.91e-08,0.16623,0.000851121,0.00063956,0.000492611,0.013031015,0.003321264,0.033314,0.093777745,0.015411045,0.000107,0.007803496,0.0475659,0.053000426,0.000845499,0.003343707,0.011303324,0.020193228,0.000155906,0.00011979,0.00478686,0.00182222,0.000181391,7e-06,1.297132163,0.017632237,0.014371908,0.000239,0.026818147,2e-06,0.003458454,4.47e-05,0.001015692,0.501741009,0.00373599,0.022204,0.354371358,2.965958468,0.000172614,0.000282937,0.002570084,7.6e-08,0.019387612,0.00212417,0.001180997,0.33555143,0.051388181,0.002777531,0.007275601,2.318368362,0.000117307,0.067241746,236.2208,0.00010272,0.000132318,0.000420471,0.003142994,0.040999079,0.000165411,0.00802729,0.446992655,1.95e-05,0.007082189,9.01e-05,4.91e-05
"2015-05-31",0.90695077,0.000649075,1.61,0.016793,7.2e-07,6e-08,0.000206537,0.00851522,0.000183743,7.12e-05,0.293107905,0.000134677,1.15e-05,0.003796586,7.62e-05,0.002533984,0.004252753,0.153569689,0.166093,0.008729,0.002480528,9.63e-06,0.00927266,0.025614405,0.000141323,0.000597164,0.000281324,0.000590362,5.1e-05,0.0322387,0.00550544,3.92e-05,0.016193148,0.147454134,0.002265367,0.013896104,3.54e-05,0.003384548,6.9e-06,0.034632091,0.010957199,0.003890196,1.001833595,3e-06,0.000480056,2.08e-05,0.040990976,0.003653008,2.52e-05,9.88e-05,0.042616846,1.630107409,0.006769126,0.00039096,0.159959,4.59e-06,0.021819458,0.002503709,0.000635995,0.00057948,0.019183851,0.007513413,7.25e-08,0.116553,0.000725755,0.000828216,0.000466247,0.018705755,0.005512284,0.049308,0.117977107,0.013107752,0.000141,0.108436966,0.009442,0.035157503,0.001016571,0.004154591,0.013730014,0.037573215,0.000183743,9.64e-05,0.000124326,0.00204199,0.000229675,9e-06,1.24814439,0.019325022,0.032871925,9.6e-05,0.022048494,1.08e-06,0.006759974,5.05e-05,0.000884569,0.454199078,0.008745789,0.01658,1.033555547,2.750765165,0.000198764,0.000353177,0.004145895,3.6e-07,0.064034975,0.00753954,0.001506691,0.326494625,0.020812447,0.003377866,0.007182047,2.512313695,5.81e-05,0.148456571,229.6785,0.000153368,0.000196755,0.000493798,0.004898127,0.053381855,0.000319752,0.008246722,0.39930667,2.07e-05,0.010829777,0.000144933,6.95e-05
"2015-06-30",1.22014047,0.000529273,1.91,0.014697232,9.34e-07,9.1e-08,0.000240589,0.022082,0.000179571,8.52e-05,0.520460134,0.000142847,1.39e-05,0.004640336,8.34e-05,0.003422912,0.006661255,0.28940626,0.160818,0.009351,0.003460546,1.35e-05,0.0281465,0.044641218,0.000253683,0.000857695,0.000446062,0.000590362,0.000157151,0.093159,0.004760444,3.3e-05,0.014783918,0.231949594,0.00280056,0.018962813,3.57e-05,0.005680228,1.05e-05,0.044886911,0.013043929,0.005261932,0.990769631,3e-06,0.000537311,9.09e-05,0.130845154,0.004240291,1.54e-05,0.000488462,0.031563699,4.105024447,0.006913127,0.001097649,0.131942,7.89e-06,0.009093156,0.005095756,0.001061096,0.000947148,0.020308845,0.011324074,1.2e-07,0.456366,0.0011144,0.001036353,0.002538882,0.01781164,0.008861961,0.249051,0.161077001,0.010918509,0.000172,0.12285544,0.01499,0.054571497,0.001407258,0.004843971,0.015657956,0.033378676,0.000255204,0.000102625,0.0001965,0.00435752,0.000206309,2e-05,1.892244373,0.019342891,0.050613734,8.4e-05,0.031226935,2.34e-06,0.0149916,6.54e-05,0.000726271,0.49477286,0.021213601,0.018677,2.737060205,2.866928439,0.000237053,0.000380649,0.00363894,2e-06,0.262313149,0.0212455,0.002354438,0.724133837,0.020865963,0.003460838,0.011303589,2.83437189,9.2e-05,0.086843027,262.4063255,0.000198173,0.000236787,0.001636921,0.013148231,0.051082836,0.001270757,0.011376403,1.08685932,2.37e-05,0.031029848,0.00016312,8.68e-05
"2015-07-31",1.815215113,0.000458647,2.24,0.056346466,7.98e-07,8.3e-08,0.000157072,0.0120945,0.000150347,5.11e-05,0.513423702,0.000154989,1.99e-05,0.003891999,8.77e-05,0.005639427,0.003613384,0.481902377,0.1637,0.008407,0.00252571,1.42e-05,0.0186811,0.024919083,0.000227909,0.000666632,0.000390584,0.000590362,0.000162754,0.0480412,0.004127448,8.58e-05,0.015429874,0.204631888,0.002080715,0.011400916,2.25e-05,0.003582732,5.67e-06,0.030331519,0.011535718,0.015370506,1.000211223,3e-06,0.00043297,7.28e-05,0.071176097,0.003112567,1.03e-05,0.000484924,0.014850302,4.618411767,0.004854765,0.000592827,0.132824,5.67e-06,0.004255101,0.002886139,0.001154551,0.000820306,0.009913834,0.008426971,1.08e-07,0.171256,0.00132678,0.000543701,0.005548652,0.022413702,0.005389795,0.213547,0.123699958,0.010788099,0.000156,0.063768652,0.066007,0.131581018,0.001426878,0.00337959,0.015271802,0.030759201,0.000204245,7.66e-05,0.000184397,0.00248345,0.000182608,1e-05,2.762390625,0.021588021,0.033008808,0.000184,0.028817163,1.43e-06,0.008598195,7.06e-05,0.000851014,0.572853484,0.011004511,0.033268,2.46795858,3.660558155,0.000408246,0.000453536,0.004179098,8.7e-07,0.130392772,0.0143193,0.001591408,0.627260512,0.014781145,0.00264688,0.01305465,2.4497973,8.26e-05,0.075647786,283.6760591,0.000184271,0.000258124,0.000929804,0.010731272,0.042030777,0.001998754,0.008439202,1.344913775,2.27e-05,0.021545131,0.00013934,0.000192728
"2015-08-31",0.849543146,0.000649009,2.48,0.032235739,4.54e-07,7.4e-08,0.000157072,0.00657771,8.97e-05,3.91e-05,0.348568394,0.000101205,1.41e-05,0.003110969,7.11e-05,0.006546117,0.003218326,0.248288782,0.155893,0.004978,0.002079906,9.71e-06,0.0119109,0.015357627,0.000181474,0.000713242,0.000208298,0.000590362,0.000197834,0.0283112,0.003240228,5.77e-05,0.009191225,0.119591721,0.001949747,0.010625035,1.61e-05,0.002735751,4.6e-06,0.022990575,0.008205278,0.005222773,0.994223442,3e-06,0.000479538,4.37e-05,0.041068258,0.002215652,9.89e-06,0.000735576,0.017030381,2.837674971,0.003385035,0.00048662,0.0899905,9.2e-06,0.001903209,0.001778912,0.000877888,0.000410058,0.007231707,0.003926973,9.12e-08,0.119791,0.000766418,0.000373031,0.030203323,0.013804686,0.003949429,0.203776,0.108100994,0.004990394,6.9e-05,0.086222046,0.014932,0.092608736,0.001112148,0.002342458,0.008326526,0.018442817,0.000166448,5.06e-05,0.000190847,0.00159355,0.000124279,9e-06,1.375799077,0.01338619,0.022238477,2.7e-05,0.020711952,1.14e-06,0.005901495,4.57e-05,0.000904117,0.467310489,0.008094297,0.022378,3.975690006,2.579097689,0.000409625,0.00026933,0.003687791,8.6e-07,0.057741363,0.00761548,0.000984125,0.410999896,0.030598087,0.002479804,0.008544335,1.652499458,8.27e-05,0.037300262,230.0781,0.000129136,0.000194962,0.00132124,0.005334955,0.038455386,0.001106692,0.0078805,1.007720388,1.61e-05,0.012237853,6.44e-05,0.000150254
"2015-09-30",0.817297634,0.001209,2.6,0.024760693,5.99e-07,8.8e-08,0.000157072,0.00816338,6.71e-05,4.48e-05,0.383485638,0.000107755,1.42e-05,0.002891567,7.71e-05,0.054987583,0.002908835,0.251128059,0.153658,0.004028,0.002348661,9.5e-06,0.01697,0.01666823,0.000150145,0.001026801,0.000246648,0.000590362,0.000349119,0.0334195,0.003760218,2.77e-05,0.011959996,0.125866175,0.001904704,0.0107665,2.37e-05,0.002338271,3.83e-06,0.017097284,0.008124813,0.002832557,0.995523169,3e-06,0.000378666,3.56e-05,0.033073148,0.002276549,5.75e-06,0.000672043,0.011799955,3.003103307,0.006277218,0.000794759,0.0711927,9.44e-06,0.001803394,0.001882881,0.000873347,0.00046973,0.004941405,0.003995608,8.9e-08,0.107318,0.000948782,0.000361996,0.012681259,0.01271812,0.003021393,0.092663,0.088910907,0.00448488,8.1e-05,0.043442847,0.031928,0.098504428,0.00086148,0.002154348,0.011469818,0.01823285,0.000174674,9.25e-05,0.000174658,0.0016818,0.000162915,8e-06,1.132838267,0.010560603,0.02712953,8.7e-05,0.022635627,4.71e-06,0.006296942,4.28e-05,0.001554216,0.395950493,0.007964103,0.020085,1.022297642,2.335546404,0.000356643,0.000385258,0.003457866,9.3e-07,0.062927369,0.00926811,0.001000331,0.373321148,0.03823515,0.001973929,0.007402412,1.32897866,0.000210081,0.053966628,236.0463,0.00012214,0.000184077,0.000482665,0.005799916,0.030098264,0.001463882,0.005512,0.997899589,1.42e-05,0.01071461,6.36e-05,0.000158734
